Zeit;Kanal A
(ms);(V)

-4,95975965;1,39825300
-4,95965565;1,39825300
-4,95955165;1,35165500
-4,95944765;1,39825300
-4,95934365;1,35165500
-4,95923965;1,39825300
-4,95913565;1,35165500
-4,95903165;1,39825300
-4,95892765;1,39825300
-4,95882365;1,39825300
-4,95871965;1,35165500
-4,95861565;1,39825300
-4,95851165;1,39825300
-4,95840765;1,39825300
-4,95830365;1,35165500
-4,95819965;1,39825300
-4,95809565;1,35165500
-4,95799165;1,39825300
-4,95788765;1,39825300
-4,95778365;1,35165500
-4,95767965;1,39825300
-4,95757565;1,39825300
-4,95747165;1,35165500
-4,95736765;1,39825300
-4,95726365;1,35165500
-4,95715965;1,35165500
-4,95705565;1,39825300
-4,95695165;1,39825300
-4,95684765;1,35165500
-4,95674365;1,35165500
-4,95663965;1,39825300
-4,95653565;1,35165500
-4,95643165;1,39825300
-4,95632765;1,39825300
-4,95622365;1,35165500
-4,95611965;1,35165500
-4,95601565;1,39825300
-4,95591165;1,35165500
-4,95580765;1,35165500
-4,95570365;1,39825300
-4,95559965;1,39825300
-4,95549565;1,39825300
-4,95539165;1,39825300
-4,95528765;1,35165500
-4,95518365;1,35165500
-4,95507965;1,35165500
-4,95497565;1,39825300
-4,95487165;1,39825300
-4,95476765;1,35165500
-4,95466365;1,39825300
-4,95455965;1,39825300
-4,95445565;1,39825300
-4,95435165;1,35165500
-4,95424765;1,39825300
-4,95414365;1,35165500
-4,95403965;1,35165500
-4,95393565;1,39825300
-4,95383165;1,35165500
-4,95372765;1,39825300
-4,95362365;1,39825300
-4,95351965;1,39825300
-4,95341565;1,39825300
-4,95331165;1,39825300
-4,95320765;1,39825300
-4,95310365;1,39825300
-4,95299965;1,35165500
-4,95289565;1,35165500
-4,95279165;1,35165500
-4,95268765;1,39825300
-4,95258365;1,35165500
-4,95247965;1,39825300
-4,95237565;1,39825300
-4,95227165;1,39825300
-4,95216765;1,39825300
-4,95206365;1,35165500
-4,95195965;1,35165500
-4,95185565;1,39825300
-4,95175165;1,39825300
-4,95164765;1,39825300
-4,95154365;1,35165500
-4,95143965;1,39825300
-4,95133565;1,39825300
-4,95123165;1,39825300
-4,95112765;1,39825300
-4,95102365;1,35165500
-4,95091965;1,39825300
-4,95081565;1,35165500
-4,95071165;1,39825300
-4,95060765;1,39825300
-4,95050365;1,39825300
-4,95039965;1,35165500
-4,95029565;1,39825300
-4,95019165;1,39825300
-4,95008765;1,35165500
-4,94998365;1,35165500
-4,94987965;1,39825300
-4,94977565;1,35165500
-4,94967165;1,39825300
-4,94956765;1,39825300
-4,94946365;1,39825300
-4,94935965;1,39825300
-4,94925565;1,39825300
-4,94915165;1,35165500
-4,94904765;1,39825300
-4,94894365;1,35165500
-4,94883965;1,39825300
-4,94873565;1,39825300
-4,94863165;1,39825300
-4,94852765;1,39825300
-4,94842365;1,39825300
-4,94831965;1,39825300
-4,94821565;1,39825300
-4,94811165;1,39825300
-4,94800765;1,39825300
-4,94790365;1,35165500
-4,94779965;1,39825300
-4,94769565;1,39825300
-4,94759165;1,39825300
-4,94748765;1,39825300
-4,94738365;1,39825300
-4,94727965;1,39825300
-4,94717565;1,39825300
-4,94707165;1,35165500
-4,94696765;1,39825300
-4,94686365;1,35165500
-4,94675965;1,35165500
-4,94665565;1,39825300
-4,94655165;1,39825300
-4,94644765;1,35165500
-4,94634365;1,39825300
-4,94623965;1,39825300
-4,94613565;1,35165500
-4,94603165;1,39825300
-4,94592765;1,35165500
-4,94582365;1,35165500
-4,94571965;1,39825300
-4,94561565;1,35165500
-4,94551165;1,35165500
-4,94540765;1,39825300
-4,94530365;1,39825300
-4,94519965;1,39825300
-4,94509565;1,39825300
-4,94499165;1,39825300
-4,94488765;1,39825300
-4,94478365;1,35165500
-4,94467965;1,39825300
-4,94457565;1,35165500
-4,94447165;1,39825300
-4,94436765;1,39825300
-4,94426365;1,39825300
-4,94415965;1,39825300
-4,94405565;1,39825300
-4,94395165;1,35165500
-4,94384765;1,39825300
-4,94374365;1,39825300
-4,94363965;1,39825300
-4,94353565;1,39825300
-4,94343165;1,35165500
-4,94332765;1,39825300
-4,94322365;1,35165500
-4,94311965;1,39825300
-4,94301565;1,35165500
-4,94291165;1,39825300
-4,94280765;1,39825300
-4,94270365;1,35165500
-4,94259965;1,39825300
-4,94249565;1,35165500
-4,94239165;1,39825300
-4,94228765;1,35165500
-4,94218365;1,39825300
-4,94207965;1,35165500
-4,94197565;1,39825300
-4,94187165;1,39825300
-4,94176765;1,39825300
-4,94166365;1,35165500
-4,94155965;1,39825300
-4,94145565;1,35165500
-4,94135165;1,39825300
-4,94124765;1,39825300
-4,94114365;1,35165500
-4,94103965;1,39825300
-4,94093565;1,39825300
-4,94083165;1,39825300
-4,94072765;1,35165500
-4,94062365;1,39825300
-4,94051965;1,39825300
-4,94041565;1,39825300
-4,94031165;1,39825300
-4,94020765;1,39825300
-4,94010365;1,39825300
-4,93999965;1,39825300
-4,93989565;1,39825300
-4,93979165;1,39825300
